year,Jack Nicklaus,Tiger Woods,Walter Hagen,Ben Hogan,Gary Player,Tom Watson,Arnold Palmer,Gene Sarazen,Sam Snead,Harry Vardon,Lee Trevino,Nick Faldo,Phil Mickelson,Seve Ballesteros,Brooks Koepka,Rory McIlroy
1970,11,0,11,9,7,1,7,7,7,7,2,0,0,0,0,0
1980,17,0,11,9,9,8,7,7,7,7,6,0,0,3,0,0
1990,18,0,11,9,9,8,7,7,7,7,6,6,0,5,0,0
2000,18,3,11,9,9,8,7,7,7,7,6,6,0,5,0,0
2005,18,10,11,9,9,8,7,7,7,7,6,6,1,5,0,0
2010,18,14,11,9,9,8,7,7,7,7,6,6,4,5,0,0
2015,18,14,11,9,9,8,7,7,7,7,6,6,5,5,0,4
2020,18,15,11,9,9,8,7,7,7,7,6,6,5,5,3,4
2024,18,15,11,9,9,8,7,7,7,7,6,6,6,5,5,4
